Mar 24, 2015 09:44:48.676384000 Eastern Summer Time	192.168.122.2	192.168.122.200	246	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:48.679482000 Eastern Summer Time	192.168.122.200	74.125.226.6	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:48.738577000 Eastern Summer Time	74.125.226.6	192.168.122.200	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:48.739017000 Eastern Summer Time	192.168.122.200	74.125.226.6	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:48.739300000 Eastern Summer Time	192.168.122.200	74.125.226.6	543	eth:ethertype:ip:tcp:http
Mar 24, 2015 09:44:49.100678000 Eastern Summer Time	74.125.226.6	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.100923000 Eastern Summer Time	74.125.226.6	192.168.122.200	577	eth:ethertype:ip:tcp:http:data-text-lines
Mar 24, 2015 09:44:49.110919000 Eastern Summer Time	192.168.122.200	192.168.122.2	73	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:49.232643000 Eastern Summer Time	192.168.122.2	192.168.122.200	137	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:49.233805000 Eastern Summer Time	192.168.122.200	74.125.226.63	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.296224000 Eastern Summer Time	74.125.226.63	192.168.122.200	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.296646000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.297384000 Eastern Summer Time	192.168.122.200	74.125.226.63	582	eth:ethertype:ip:tcp:http
Mar 24, 2015 09:44:49.314836000 Eastern Summer Time	192.168.122.200	74.125.226.6	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.445091000 Eastern Summer Time	74.125.226.63	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.696294000 Eastern Summer Time	74.125.226.63	192.168.122.200	1173	eth:ethertype:ip:tcp:http:data-text-lines
Mar 24, 2015 09:44:49.719242000 Eastern Summer Time	192.168.122.200	74.125.226.63	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.770805000 Eastern Summer Time	192.168.122.200	74.125.226.63	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.821492000 Eastern Summer Time	74.125.226.63	192.168.122.200	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.821737000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.847266000 Eastern Summer Time	192.168.122.200	74.125.226.63	209	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:49.973310000 Eastern Summer Time	74.125.226.63	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.974108000 Eastern Summer Time	74.125.226.63	192.168.122.200	1421	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:49.974351000 Eastern Summer Time	74.125.226.63	192.168.122.200	1421	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:49.974597000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.023897000 Eastern Summer Time	74.125.226.63	192.168.122.200	1247	eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1explicit:tls
Mar 24, 2015 09:44:50.218181000 Eastern Summer Time	192.168.122.200	74.125.226.63	180	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.280656000 Eastern Summer Time	74.125.226.63	192.168.122.200	105	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.319614000 Eastern Summer Time	192.168.122.200	74.125.226.63	845	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.422325000 Eastern Summer Time	74.125.226.63	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.432159000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.432191000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.432578000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.432597000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.432826000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.432834000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.433410000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.482070000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.482234000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.482294000 Eastern Summer Time	74.125.226.63	192.168.122.200	1421	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.482536000 Eastern Summer Time	74.125.226.63	192.168.122.200	1391	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.482557000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.482693000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:50.482784000 Eastern Summer Time	74.125.226.63	192.168.122.200	1406	eth:ethertype:ip:tcp:tls
Mar 24, 2015 09:44:50.482929000 Eastern Summer Time	192.168.122.200	74.125.226.63	60	eth:ethertype:ip:tcp
